kohde;jasen;pvknro;sp;ASALUE;IKAL1;V1;V5;V7;V21;V22;V27;V32;V33;V40;V68;V69;V70;V75;H1a_A;H1b_A;H1g_A;H1h_A;H1i_A
51043;2;2;2;2.0;7;0;50;30;0;0;40;530;80;0;40;0;400;0;1.0;2.0;2.0;1.0;1.0
51049;2;1;2;1.0;8;00:00;01:30;00:00;00:00;00:00;00:10;06:30;02:30;00:00;01:40;?;02:00;00:50;1.0;2.0;1.0;2.0;2.0
51050;1;2;2;1.0;5;640;10;0;0;0;0;450;40;0;70;0;0;0;1.0;1.0;1.0;1.0;2.0
51053;1;1;2;3.0;6;00:00;01:10;00:10;00:00;00:00;00:00;09:00;00:20;00:00;01:00;?;01:20;?;2.0;2.0;1.0;1.0;2.0
51057;2;2;1;1.0;7;0;70;0;0;0;0;460;70;0;0;150;0;0;2.0;2.0;2.0;2.0;2.0
51060;1;1;2;1.0;4;0;20;0;0;?;20;590;80;0;0;0;100;0;1.0;1.0;1.0;1.0;2.0
51065;2;2;1;1.0;8;0;10;?;0;0;10;590;120;0;100;0;210;20;?;?;?;?;?
51074;1;1;2;3.0;6;400;10;0;0;0;0;480;70;0;0;0;0;0;60.0;0.0;0.0;0.0;0.0
51079;2;2;2;3.0;4;0;60;0;0;0;20;650;70;0;0;0;150;0;2.0;2.0;2.0;1.0;1.0
51081;1;1;1;3.0;7;0;20;0;0;0;0;480;80;0;80;0;340;0;2.0;2.0;2.0;1.0;2.0
51089;1;1;2;1.0;7;00:00;01:00;00:30;00:00;00:00;00:00;07:50;01:10;00:00;00:20;00:00;06:20;00:10;2.0;1.0;2.0;2.0;2.0
51094;1;1;2;2.0;7;280;10;?;0;0;10;500;60;0;80;0;70;0;2.0;2.0;2.0;1.0;2.0
51096;2;1;2;1.0;7;0;10;0;0;0;70;560;170;0;20;0;0;0;1.0;1.0;1.0;1.0;1.0
51119;1;1;2;2.0;6;790;0;0;0;0;0;420;40;0;40;0;0;0;2.0;1.0;2.0;1.0;2.0
51121;2;1;1;1.0;5;570;?;0;20;20;20;460;60;0;20;0;110;0;1.0;2.0;2.0;1.0;1.0
51125;1;1;2;1.0;3;0;10;10;0;0;90;480;70;330;10;0;140;0;1.0;1.0;2.0;1.0;2.0
51126;2;1;2;2.0;4;410;30;20;10;20;0;540;40;0;10;0;60;0;1.0;1.0;1.0;1.0;2.0
51131;2;2;1;1.0;4;0;20;0;20;60;0;420;70;0;0;0;170;130;?;?;?;?;?
51137;1;2;2;1.0;6;0;10;0;0;0;20;500;40;0;120;0;160;10;1.0;1.0;1.0;1.0;1.0
51139;2;2;2;3.0;7;0;0;10;0;0;10;110;10;0;0;0;0;0;2.0;2.0;1.0;1.0;2.0
51141;1;1;2;1.0;3;07:40;00:50;00:20;00:00;00:00;00:00;08:30;01:20;00:00;00:00;00:00;01:00;00:00;1.0;1.0;2.0;1.0;2.0
51155;1;2;2;1.0;7;360;0;0;0;0;0;460;60;0;60;70;280;0;2.0;1.0;2.0;2.0;1.0
51159;1;2;1;1.0;7;0;0;10;0;0;0;560;120;0;80;0;230;0;1.0;1.0;1.0;1.0;1.0
51161;2;2;1;1.0;7;210;40;0;0;0;70;610;90;0;0;0;210;0;1.0;2.0;1.0;1.0;2.0
51167;2;1;1;1.0;6;500;30;0;70;50;0;500;70;0;10;0;0;0;2.0;1.0;1.0;1.0;1.0
51170;1;2;1;1.0;7;0;0;0;0;0;100;580;70;0;0;0;310;0;1.0;1.0;2.0;2.0;2.0
51176;2;1;1;1.0;7;0;0;20;0;?;70;430;80;0;110;70;340;0;2.0;2.0;1.0;2.0;1.0
51178;2;1;2;2.0;5;00:00;00:00;00:00;00:00;00:00;00:10;11:20;02:20;00:00;02:00;00:00;00:50;00:00;2.0;1.0;1.0;1.0;2.0
51181;1;1;1;1.0;7;0;10;0;0;0;?;?;130;0;0;190;90;0;2.0;2.0;2.0;2.0;2.0
51184;1;2;2;1.0;9;00:00;00:00;00:00;00:00;00:00;00:00;10:30;02:20;00:00;?;01:10;01:00;00:00;2.0;?;2.0;1.0;2.0
51192;1;1;2;1.0;7;04:30;00:10;00:00;00:00;00:00;00:00;08:10;00:10;00:00;01:20;00:00;05:50;00:00;2.0;1.0;1.0;2.0;2.0
51197;1;2;2;1.0;7;04:20;01:40;00:00;00:00;00:00;00:00;11:10;00:50;00:00;00:00;00:00;02:50;00:00;2.0;1.0;1.0;2.0;2.0
51199;1;1;2;2.0;4;0;70;10;220;170;0;520;20;0;0;0;120;30;2.0;2.0;2.0;1.0;1.0
51203;2;1;2;1.0;5;00:00;01:00;00:20;00:00;00:20;00:30;08:30;00:50;00:00;00:00;00:00;02:00;?;1.0;2.0;2.0;1.0;1.0
51207;1;1;1;3.0;6;750;0;0;0;0;30;170;40;0;0;0;110;0;2.0;1.0;2.0;2.0;1.0
51211;1;2;1;1.0;4;0;0;0;0;0;0;560;90;0;0;0;170;20;1.0;2.0;1.0;1.0;1.0
51213;2;2;2;1.0;6;450;40;10;0;0;10;420;70;0;0;0;290;0;2.0;2.0;1.0;2.0;2.0
51219;2;2;2;1.0;7;40;50;0;0;0;40;450;130;0;20;0;110;0;1.0;1.0;1.0;1.0;?
51223;1;2;2;2.0;3;0;20;0;0;0;130;440;100;0;0;0;180;0;1.0;2.0;2.0;1.0;2.0
51230;2;1;2;3.0;9;0;130;110;0;0;0;480;100;0;40;30;100;90;2.0;2.0;2.0;2.0;2.0
51237;1;2;1;1.0;7;0;10;0;0;0;10;550;100;0;90;0;430;0;2.0;2.0;2.0;1.0;2.0
51238;2;2;1;1.0;4;720;0;0;0;0;0;360;20;0;0;0;90;0;1.0;2.0;2.0;1.0;2.0
51239;2;2;1;1.0;7;00:00;00:10;00:00;00:00;00:00;00:00;09:50;04:00;00:00;01:40;01:00;00:00;00:00;1.0;1.0;1.0;1.0;1.0
51248;1;1;2;1.0;4;0;30;10;0;30;40;680;10;0;30;0;240;0;1.0;2.0;2.0;1.0;1.0
51252;1;1;2;1.0;5;0;60;20;100;40;30;520;50;0;90;0;0;20;2.0;2.0;2.0;1.0;2.0
51253;1;1;2;2.0;6;450;10;0;0;0;60;460;20;0;90;0;110;0;1.0;2.0;1.0;1.0;2.0
51263;2;1;2;1.0;5;460;60;40;0;0;10;340;70;0;10;0;210;0;?;?;?;?;?
51276;1;2;2;1.0;9;0;60;30;0;0;40;590;50;0;70;0;150;0;2.0;2.0;1.0;1.0;2.0
51279;1;2;2;1.0;9;00:00;01:00;00:30;00:00;00:00;00:40;09:30;01:20;00:00;00:40;00:00;05:30;00:00;2.0;2.0;2.0;1.0;2.0
51284;1;2;2;1.0;8;0;30;30;0;0;0;540;120;0;90;60;60;0;2.0;2.0;2.0;2.0;2.0
51287;1;2;1;2.0;6;0;100;20;0;0;20;710;60;0;0;0;70;0;2.0;?;2.0;1.0;1.0
51289;1;2;2;1.0;7;460;30;20;0;0;20;530;90;?;40;?;70;0;2.0;2.0;2.0;1.0;1.0
51297;1;1;2;3.0;5;520;50;10;70;0;0;390;60;0;20;0;20;30;2.0;1.0;1.0;1.0;1.0
51300;1;2;2;1.0;8;0;80;20;0;0;70;420;80;0;100;0;230;0;2.0;1.0;2.0;1.0;1.0
51302;1;1;1;1.0;8;0;50;0;0;0;30;510;100;0;30;90;220;0;1.0;1.0;1.0;1.0;1.0
51307;2;1;2;2.0;7;0;240;40;0;0;30;340;60;0;0;0;360;0;2.0;2.0;2.0;2.0;2.0
51311;2;1;1;1.0;7;?;20;10;0;0;0;650;100;0;0;0;230;0;2.0;1.0;1.0;1.0;1.0
51313;2;1;2;2.0;5;380;50;10;0;0;10;350;100;0;0;0;140;0;1.0;2.0;1.0;1.0;1.0
51315;2;2;2;1.0;4;0;0;0;0;0;0;380;0;0;150;0;290;10;?;?;?;?;?
51323;1;1;1;1.0;5;0;0;0;90;40;0;630;100;0;20;0;90;0;?;2.0;2.0;2.0;1.0
51326;2;2;1;1.0;8;0;10;0;0;0;90;420;130;0;60;0;330;0;?;?;?;?;?
51327;1;1;2;2.0;6;30;70;0;0;0;0;570;60;0;10;0;90;10;1.0;1.0;1.0;1.0;2.0
51336;1;2;2;1.0;5;630;0;0;0;0;20;460;60;0;0;0;140;0;1.0;2.0;1.0;1.0;2.0
51337;1;2;2;1.0;6;510;10;10;0;0;20;450;40;0;0;0;10;0;2.0;1.0;2.0;1.0;2.0
51340;1;2;2;?;9;0;0;0;0;0;0;880;40;0;0;0;?;10;2.0;2.0;2.0;2.0;2.0
51348;1;1;2;3.0;5;00:00;00:50;00:30;00:00;00:00;00:00;07:40;01:20;00:00;01:10;00:00;03:50;00:30;1.0;2.0;2.0;1.0;2.0
51364;1;1;2;3.0;5;0;80;10;0;0;0;570;80;0;100;0;120;0;1.0;1.0;2.0;1.0;1.0
51365;2;2;1;1.0;7;0;40;0;0;0;0;660;120;0;0;0;120;0;2.0;1.0;2.0;2.0;1.0
51369;2;1;1;2.0;6;430;0;0;0;0;0;440;150;0;70;0;110;0;1.0;2.0;2.0;1.0;1.0
51378;2;2;2;1.0;8;0;80;10;0;0;30;550;70;0;40;0;270;0;2.0;1.0;2.0;2.0;1.0
51386;2;1;2;1.0;8;0;60;0;0;0;0;480;40;0;250;0;150;0;?;?;?;?;?
51391;1;2;2;1.0;9;0;60;20;0;0;0;440;60;0;140;0;420;110;1.0;1.0;1.0;2.0;1.0
51394;1;1;2;1.0;5;0;40;50;50;30;30;540;90;0;10;0;130;0;1.0;2.0;2.0;1.0;2.0
51395;1;1;2;1.0;8;0;70;30;0;0;20;440;80;0;140;0;280;0;2.0;1.0;2.0;1.0;1.0
51397;2;1;2;3.0;8;0;170;50;0;0;0;320;110;0;60;0;60;0;2.0;1.0;2.0;1.0;2.0
51398;1;1;2;1.0;7;0;80;0;0;0;0;530;100;0;130;0;110;0;1.0;2.0;2.0;1.0;2.0
51408;2;1;2;3.0;5;0;20;40;0;0;0;710;90;0;0;40;220;0;1.0;1.0;1.0;1.0;2.0
51410;1;1;2;1.0;4;0;120;20;20;40;30;380;40;0;0;0;140;0;1.0;2.0;2.0;1.0;1.0
51419;1;1;2;3.0;5;0;60;10;0;0;20;290;130;0;40;0;110;20;2.0;1.0;1.0;1.0;2.0
51423;2;1;1;1.0;6;140;40;50;0;0;0;310;100;0;140;0;240;0;1.0;1.0;1.0;1.0;1.0
51430;1;1;2;1.0;4;0;20;10;90;140;0;540;50;0;0;0;100;0;1.0;1.0;2.0;1.0;2.0
51435;1;1;1;1.0;6;0;60;0;0;0;0;170;460;0;0;500;80;0;2.0;2.0;2.0;2.0;2.0
51449;2;1;2;1.0;8;0;100;60;0;0;40;530;140;0;130;0;190;0;2.0;2.0;2.0;2.0;2.0
51456;1;1;1;1.0;4;09:10;00:00;00:10;00:00;00:30;01:10;06:10;01:50;00:00;00:10;00:00;01:20;00:10;?;?;?;?;?
51462;1;2;2;2.0;6;540;0;0;0;0;0;520;70;0;0;0;310;0;2.0;1.0;2.0;2.0;1.0
51469;2;1;1;1.0;7;00:00;00:20;00:00;00:00;00:00;00:40;09:30;02:00;00:00;00:00;00:00;04:10;00:00;2.0;1.0;2.0;2.0;1.0
51474;1;2;1;1.0;5;0;40;10;20;0;120;540;90;0;140;0;200;20;1.0;1.0;1.0;1.0;1.0
51479;1;2;1;3.0;6;300;0;0;0;0;0;620;130;0;30;0;110;0;1.0;1.0;2.0;2.0;1.0
51480;1;1;2;1.0;7;0;40;10;0;0;60;710;80;0;20;0;70;10;1.0;1.0;2.0;2.0;2.0
51483;2;1;2;2.0;4;0;0;30;0;0;0;550;70;0;10;0;180;10;1.0;1.0;1.0;1.0;2.0
51484;1;2;2;1.0;4;0;0;0;0;0;0;360;150;0;0;0;0;0;1.0;1.0;2.0;1.0;2.0
51485;1;2;1;1.0;6;0;0;0;0;0;20;440;130;0;10;0;120;0;1.0;2.0;2.0;2.0;2.0
51487;2;2;2;1.0;5;0;30;0;0;0;0;520;90;0;0;0;80;0;?;?;?;?;?
51488;1;1;1;1.0;5;0;60;40;140;10;60;610;150;0;10;0;0;0;1.0;1.0;1.0;1.0;2.0
51491;2;2;2;1.0;8;00:00;00:30;00:20;00:00;00:00;00:00;08:40;02:40;00:00;00:00;00:50;01:30;00:20;2.0;2.0;2.0;2.0;2.0
51492;2;1;2;2.0;6;0;10;40;0;0;0;510;180;0;40;0;0;0;2.0;2.0;2.0;2.0;2.0
51495;1;2;1;1.0;5;590;0;0;0;0;0;370;50;0;0;0;90;0;1.0;1.0;2.0;1.0;1.0
51502;2;2;2;1.0;6;0;60;0;0;0;0;510;60;0;90;0;270;60;1.0;1.0;2.0;2.0;2.0
51504;1;2;2;1.0;7;0;0;0;0;0;40;?;0;0;0;0;180;0;2.0;1.0;2.0;1.0;2.0
51515;1;2;1;1.0;6;470;0;0;0;0;20;470;60;0;0;0;190;0;1.0;2.0;2.0;2.0;1.0
51518;2;2;2;2.0;8;0;100;50;0;0;20;540;100;0;60;0;140;0;2.0;1.0;1.0;1.0;2.0
51524;1;1;1;1.0;6;0;?;30;0;0;40;590;100;0;130;70;140;0;2.0;2.0;1.0;1.0;2.0
51525;1;1;2;1.0;7;00:00;00:30;00:10;00:00;00:00;00:00;10:30;01:10;00:00;00:00;00:00;00:00;00:10;2.0;2.0;1.0;1.0;2.0
51527;2;2;2;1.0;6;0;50;40;0;40;20;560;140;0;0;0;250;20;1.0;2.0;1.0;1.0;1.0
51537;2;1;2;2.0;6;0;60;0;0;0;110;460;70;0;50;0;160;0;1.0;1.0;1.0;1.0;1.0
51540;1;2;1;2.0;7;160;0;10;0;0;0;550;130;0;20;0;120;0;2.0;2.0;2.0;1.0;2.0
51543;2;2;1;1.0;6;640;0;0;0;0;0;620;80;0;30;0;0;0;?;?;?;?;?
51546;1;2;1;3.0;3;0;20;0;0;0;0;720;60;0;20;0;390;0;2.0;2.0;2.0;1.0;2.0
51548;1;1;1;1.0;6;0;0;0;0;0;0;560;20;0;0;0;70;20;2.0;2.0;2.0;2.0;1.0
51553;1;1;1;1.0;5;0;60;70;130;30;0;510;30;0;40;0;90;10;2.0;2.0;2.0;1.0;2.0
51562;1;2;1;1.0;7;0;20;0;0;0;0;490;40;0;10;20;730;80;1.0;2.0;1.0;1.0;1.0
51568;1;2;2;3.0;5;0;0;0;0;0;0;650;60;0;0;70;0;0;2.0;2.0;1.0;1.0;2.0
51571;1;2;1;1.0;4;670;0;0;60;30;0;550;50;0;0;0;0;0;1.0;2.0;2.0;1.0;1.0
51572;2;2;1;1.0;6;0;30;10;0;0;10;380;120;0;30;40;360;0;2.0;2.0;1.0;1.0;2.0
51573;1;1;1;3.0;5;08:00;00:10;00:20;00:00;00:00;00:10;07:50;00:50;00:00;00:30;00:00;?;00:00;1.0;1.0;1.0;2.0;1.0
51574;2;1;2;1.0;5;520;10;0;0;0;10;510;60;0;10;0;50;70;?;?;?;?;?
51578;1;2;1;2.0;6;0;20;20;0;0;0;560;70;0;50;0;350;0;1.0;1.0;1.0;1.0;1.0
51587;1;2;1;1.0;7;0;40;0;0;0;90;530;50;0;80;0;130;0;2.0;2.0;2.0;1.0;1.0
51593;2;1;1;1.0;9;0;0;0;0;0;0;500;160;0;60;60;280;0;2.0;2.0;2.0;2.0;2.0
51600;1;2;1;3.0;5;0;0;0;0;0;0;670;40;0;0;0;270;0;2.0;2.0;2.0;2.0;2.0
51611;1;2;1;3.0;6;330;0;0;0;0;0;470;80;0;40;0;120;0;2.0;2.0;1.0;1.0;2.0
51621;2;1;2;1.0;7;360;10;10;0;0;0;510;60;0;0;0;110;0;2.0;2.0;2.0;1.0;2.0
51631;1;1;1;3.0;5;410;20;0;0;0;0;490;70;0;20;0;90;0;1.0;2.0;1.0;1.0;1.0
51634;2;2;1;1.0;9;0;0;0;0;0;220;580;90;0;50;0;170;0;?;?;?;?;?
51638;2;2;1;3.0;8;00:00;01:10;00:00;00:00;00:00;00:00;07:50;?;00:00;00:00;00:10;03:30;00:00;2.0;1.0;1.0;2.0;2.0
51653;2;2;1;3.0;6;420;40;0;0;0;10;430;90;0;0;20;90;0;2.0;2.0;2.0;1.0;1.0
51660;1;2;2;1.0;7;480;20;0;0;0;0;410;50;0;30;0;110;40;2.0;1.0;1.0;1.0;1.0
51670;1;1;1;2.0;5;320;30;0;40;0;20;440;100;0;0;0;30;0;2.0;2.0;1.0;1.0;2.0
51675;1;2;1;1.0;6;720;10;0;0;0;0;470;80;0;10;0;20;0;2.0;2.0;1.0;1.0;1.0
51676;1;2;2;2.0;5;510;0;0;0;0;0;620;40;0;0;0;110;0;1.0;2.0;2.0;2.0;2.0
51677;2;2;1;1.0;3;440;50;0;0;0;10;480;60;0;0;0;60;?;1.0;1.0;2.0;1.0;2.0
51679;2;1;2;1.0;5;0;20;0;0;0;30;420;250;0;40;0;0;0;1.0;1.0;1.0;1.0;1.0
51681;1;2;1;1.0;9;00:00;01:30;00:00;00:00;00:00;00:20;10:30;01:40;00:00;00:00;00:00;03:50;00:00;2.0;2.0;2.0;2.0;2.0
51695;2;1;2;3.0;9;0;60;40;0;0;0;410;80;0;100;0;260;30;2.0;1.0;2.0;1.0;2.0
51696;2;2;1;2.0;8;0;20;20;0;0;0;490;160;0;90;0;70;0;1.0;2.0;2.0;2.0;2.0
51704;1;1;1;1.0;5;0;20;20;0;0;80;400;140;0;200;0;280;?;1.0;1.0;1.0;1.0;2.0
51706;2;1;2;2.0;4;0;70;50;0;0;140;720;100;0;0;0;0;0;1.0;1.0;2.0;1.0;1.0
51709;1;2;2;1.0;8;0;60;10;0;0;140;240;90;0;60;20;180;50;1.0;1.0;1.0;1.0;2.0
51710;1;2;2;1.0;7;370;100;0;0;0;30;490;30;0;20;0;270;0;2.0;2.0;2.0;2.0;2.0
51722;1;1;2;2.0;7;0;40;10;0;0;50;490;110;0;110;0;140;10;2.0;1.0;1.0;1.0;2.0
51729;1;1;1;3.0;6;10:00;00:10;00:00;00:00;00:00;00:00;07:00;01:50;00:00;01:30;00:00;01:10;00:00;1.0;2.0;1.0;1.0;2.0
51738;1;1;1;2.0;8;0;0;0;0;0;60;330;80;0;20;20;530;0;2.0;2.0;2.0;2.0;2.0
51739;2;2;1;2.0;9;0;50;10;0;0;70;570;100;0;200;0;120;0;2.0;1.0;1.0;1.0;2.0
51742;1;1;2;1.0;6;0;60;40;0;0;0;710;90;0;70;20;80;10;1.0;?;2.0;1.0;2.0
51751;1;1;1;1.0;7;470;10;0;0;0;0;430;50;0;10;0;110;0;?;?;?;?;?
51766;1;2;1;1.0;4;00:00;00:00;00:00;00:00;00:00;00:00;12:20;00:30;00:00;02:00;00:00;04:20;00:00;?;1.0;1.0;1.0;1.0
51771;2;1;1;1.0;7;0;20;0;0;0;20;510;40;0;50;0;210;0;2.0;2.0;1.0;2.0;1.0
51782;1;1;1;3.0;9;0;140;80;0;0;0;510;140;0;50;0;180;0;2.0;2.0;2.0;2.0;2.0
51783;1;1;2;1.0;9;0;100;20;0;0;0;620;110;0;80;0;90;0;2.0;2.0;2.0;2.0;2.0
51789;1;2;2;1.0;9;0;70;40;0;0;30;550;40;0;70;0;270;80;2.0;2.0;1.0;1.0;2.0
51790;2;1;1;1.0;4;650;0;0;0;0;0;470;0;0;0;0;140;0;1.0;1.0;1.0;1.0;1.0
51791;2;1;2;2.0;5;0;40;40;30;0;30;660;60;0;10;0;250;0;1.0;2.0;2.0;1.0;2.0
51799;2;1;2;1.0;7;0;50;40;0;0;0;550;70;0;90;0;280;0;?;?;?;?;?
51806;1;2;1;1.0;8;0;40;50;0;0;0;530;70;0;0;190;500;0;2.0;2.0;2.0;1.0;2.0
51807;2;2;2;3.0;5;720;50;0;?;0;0;430;60;0;0;0;150;0;1.0;1.0;2.0;1.0;1.0
51810;1;1;1;1.0;5;00:00;00:00;00:00;00:00;00:00;01:40;06:50;01:50;00:00;02:10;00:00;01:00;00:50;1.0;2.0;1.0;1.0;1.0
51811;1;1;2;3.0;7;00:00;00:50;00:00;00:00;00:00;00:00;06:40;01:30;00:00;03:50;00:00;08:40;00:00;2.0;2.0;2.0;1.0;2.0
51812;1;1;2;1.0;6;07:50;00:40;00:30;00:00;00:00;01:00;03:40;01:40;00:00;01:50;00:00;00:50;00:00;1.0;2.0;2.0;1.0;1.0
51820;2;1;2;1.0;6;0;70;30;0;0;30;550;110;0;50;0;120;30;1.0;2.0;1.0;1.0;2.0
51825;1;2;2;1.0;4;00:00;00:00;00:00;00:20;00:00;00:00;08:30;00:40;00:00;00:00;00:00;00:00;00:00;1.0;2.0;1.0;1.0;1.0
51826;1;2;2;1.0;4;390;30;0;20;20;0;440;100;0;50;0;?;0;2.0;2.0;2.0;1.0;2.0
51827;1;2;2;1.0;6;0;20;20;0;0;20;690;30;0;60;0;300;0;1.0;1.0;1.0;1.0;2.0
51830;1;2;2;2.0;4;0;50;20;200;100;20;470;50;0;0;0;260;20;2.0;2.0;2.0;1.0;1.0
51846;1;2;1;1.0;5;0;40;10;0;0;10;560;40;0;70;0;50;0;2.0;2.0;2.0;1.0;1.0
51849;2;1;2;1.0;5;0;30;0;0;0;20;570;70;0;40;0;180;0;1.0;1.0;1.0;1.0;2.0
51862;1;1;2;1.0;5;450;20;10;0;0;0;480;60;0;170;0;0;10;1.0;1.0;1.0;1.0;1.0
51873;1;1;2;1.0;8;0;40;10;0;0;0;480;50;0;70;0;190;10;1.0;1.0;1.0;1.0;2.0
51875;1;2;2;3.0;8;180;60;20;0;0;60;470;80;0;110;0;80;0;2.0;2.0;1.0;2.0;2.0
51877;2;1;1;3.0;5;490;20;0;90;0;0;510;110;0;10;0;10;0;1.0;2.0;2.0;1.0;2.0
51878;1;2;1;1.0;6;0;0;0;0;0;0;640;80;0;60;0;380;0;2.0;2.0;2.0;1.0;2.0
51888;2;1;2;3.0;4;0;30;0;30;0;10;550;170;0;0;0;30;0;1.0;2.0;2.0;1.0;2.0
51911;2;1;1;2.0;7;0;100;20;0;0;0;480;60;0;50;0;190;0;2.0;1.0;2.0;2.0;1.0
51915;1;1;2;1.0;5;450;0;0;0;0;40;560;90;0;10;0;130;0;2.0;2.0;2.0;2.0;1.0
51918;1;2;1;3.0;6;0;0;0;0;0;0;570;60;0;0;0;90;0;2.0;1.0;2.0;2.0;2.0
51920;2;2;2;3.0;7;00:00;01:10;01:00;00:00;00:00;00:00;10:00;01:30;00:00;01:00;00:00;00:40;00:00;2.0;1.0;2.0;2.0;1.0
51922;1;1;1;3.0;6;0;70;60;0;0;0;620;70;0;10;0;60;0;2.0;1.0;1.0;1.0;1.0
51923;1;2;1;1.0;8;0;60;20;0;0;0;660;90;0;?;0;200;0;2.0;2.0;1.0;2.0;2.0
51943;1;2;2;1.0;4;440;30;10;0;0;0;460;70;0;10;0;80;0;1.0;1.0;1.0;2.0;1.0
51947;2;1;2;1.0;7;490;0;10;0;0;0;470;60;0;0;0;70;10;1.0;1.0;2.0;1.0;2.0
51956;1;1;2;2.0;6;0;30;0;0;0;240;?;150;0;30;0;170;50;1.0;1.0;2.0;1.0;2.0
51957;2;2;2;1.0;7;0;10;10;0;0;0;740;100;0;60;0;30;40;2.0;2.0;1.0;1.0;2.0
51964;2;1;1;1.0;7;0;30;0;0;0;0;550;40;0;0;0;400;0;1.0;2.0;2.0;?;1.0
